algorithm,dataset,n,mean,std,min,max
betweenness,sparse,612,0.00025322391394735927,0.0009433859351939744,0.0,0.009589224866518205
betweenness,dense,1000,0.0009018858537896608,0.0001731112741854845,0.0004593978588045559,0.001500789660339156
betweenness,scale_free,1000,0.0024713972489523593,0.009753260197871632,2.882154414400928e-05,0.15127762433284192
betweenness,small_world,1000,0.004268950313038489,0.004083522034758176,0.0003179412304402914,0.023626055860308665
closeness,sparse,612,0.005585340062165839,0.004646940050925586,0.0016366612111292963,0.02344561181211833
closeness,dense,1000,0.5263064885190732,0.002659331309381938,0.5184224182667359,0.534796573875803
closeness,scale_free,1000,0.29108655489471447,0.02842244997964912,0.22865644312199587,0.43681679055531264
closeness,small_world,1000,0.19086734003091144,0.011840672127659123,0.14852809991079394,0.22048112999337893
degree,sparse,612,0.002561963137682787,0.0013402294180351205,0.0016366612111292963,0.011456628477905075
degree,dense,1000,0.09995795795795796,0.009561306487343038,0.07207207207207207,0.13013013013013014
degree,scale_free,1000,0.0059879879879879885,0.007271269893241127,0.003003003003003003,0.09309309309309309
degree,small_world,1000,0.01001001001001001,0.0007021292459159232,0.007007007007007007,0.013013013013013013
