Graph,Algorithm,Time_ms,Memory_MB,Ops
sparse,degree,454.029,0.0,479
sparse,closeness,340.717,0.016,667692
sparse,betweenness,378.89,0.062,293148
sparse,eigenvector,394.599,0.109,4790
sparse,pagerank,412.043,0.0,9580
dense,degree,3.217,0.0,49929
dense,closeness,2.246,0.0,50929000
dense,betweenness,2.349,0.062,49929000
dense,eigenvector,2.063,0.0,499290
dense,pagerank,2.277,0.0,998580
scale_free,degree,2.253,0.016,2991
scale_free,closeness,1.966,0.0,3991000
scale_free,betweenness,1.956,0.0,2991000
scale_free,eigenvector,1.998,0.0,29910
scale_free,pagerank,2.012,0.0,59820
small_world,degree,2.558,0.016,5000
small_world,closeness,2.02,0.0,6000000
small_world,betweenness,2.034,0.0,5000000
small_world,eigenvector,1.915,0.0,50000
small_world,pagerank,2.113,0.0,100000
